filename,gt_count,notes
frame_0001.png,5, 
frame_0002.png,5,
frame_0003.png,5,
frame_0004.png,5,
frame_0005.png,5,
frame_0006.png,5,
frame_0007.png,5,
frame_0008.png,5,
frame_0009.png,5,
frame_0010.png,5,
frame_0011.png,5,
frame_0012.png,5,
frame_0013.png,5,
frame_0014.png,5,
frame_0015.png,4,one human not partially hidden 
frame_0016.png,4,4 human partially hidden
frame_0017.png,1,4 human partially hidden
frame_0018.png,5,
frame_0019.png,5,
frame_0020.png,5,
frame_0021.png,5,
frame_0022.png,5,
frame_0023.png,5,
frame_0024.png,5,
frame_0025.png,5,
frame_0026.png,5,
frame_0027.png,5,
frame_0028.png,5,
frame_0029.png,5,
frame_0030.png,5,
frame_0031.png,5,
frame_0032.png,5,
frame_0033.png,5,
frame_0034.png,0,
frame_0035.png,0,
frame_0036.png,0,
frame_0037.png,0,
frame_0038.png,5,
frame_0039.png,0,
frame_0040.png,0,
frame_0041.png,0,
frame_0042.png,0,
frame_0043.png,0,
frame_0044.png,0,
frame_0045.png,0,
frame_0046.png,0,
frame_0047.png,0,
frame_0048.png,0,
frame_0049.png,0,
frame_0050.png,0,
frame_0051.png,0,
frame_0052.png,0,
frame_0053.png,0,
frame_0054.png,0,
frame_0055.png,0,
frame_0056.png,0,
frame_0057.png,0,
frame_0058.png,0,
frame_0059.png,0,
frame_0060.png,0,
